,T,V,V_c,I,P,Mediciones p/s,Fecha,Periodo
131,0.061304066,74.40272918590243,1.79e-06,1.2094594594594595e-10,0.373,,,
132,0.13003528,157.8195498387221,-2.352e-06,-1.5891891891891894e-10,0.374,,,
133,0.201927,245.07216617749367,1.25e-07,8.445945945945945e-12,0.373,,,
134,0.27465555,333.340416095175,2.103e-06,1.420945945945946e-10,0.373,,,
135,0.3483911,422.83082706243226,5.85e-06,3.952702702702703e-10,0.372,,,
136,0.42047233,510.31345105252296,2.737e-06,1.8493243243243243e-10,0.373,,,
137,0.49309954,598.4587099713715,2.685e-06,1.8141891891891894e-10,0.373,,,
138,0.56511433,685.8606937411136,3.747e-06,2.531756756756757e-10,0.374,,,
139,0.63918595,775.7589849809794,4.34e-06,2.932432432432432e-10,0.373,,,
140,0.71069769,862.5504331166502,5.777e-06,3.9033783783783783e-10,0.373,,,
141,0.78257528,949.7858934066129,1.5186e-05,1.0260810810810811e-09,0.373,,,
142,0.62655337,637.6041619737225,122.82308,0.008298856756756757,0.373,,,
143,0.66723135,668.45386996854,141.3429,0.009550195945945946,0.373,,,
144,0.65023909,667.6678022271522,121.50602,0.008209866216216216,0.373,,,
145,0.61598255,645.8800650066319,101.71772,0.0068728189189189185,0.373,,,
146,0.58081317,622.7617348662413,82.152129,0.005550819527027027,0.373,,,
147,0.54460523,597.9666855720673,63.002791,0.004256945337837838,0.373,,,
148,0.50689301,570.6101640596927,44.58923,0.003012785810810811,0.373,,,
149,0.46800585,540.5537234678171,27.449602,0.0018547028378378377,0.373,,,
150,0.42614125,505.3429657612035,11.85067,0.0008007209459459459,0.373,,,
151,0.3824525,464.17003161758726,3.508e-06,2.37027027027027e-10,0.373,,,
152,0.30995535,376.1826280770773,-2.269e-06,-1.5331081081081079e-10,0.373,,,
153,0.23650131,287.0338776318045,-7.099e-06,-4.796621621621622e-10,0.373,,,
154,0.1647889,199.99887998343695,-5.61e-06,-3.7905405405405406e-10,0.373,,,
155,0.091133102,110.60525833860969,-6.297e-06,-4.2547297297297297e-10,0.373,,,
156,0.021167126,25.689851367129023,-5.912e-06,-3.994594594594595e-10,0.373,,,
157,0.061839479,75.0525448939017,-7.49e-07,-5.060810810810811e-11,0.373,,,
158,0.12579557,152.67394978240114,9.58e-07,6.472972972972973e-11,0.373,,,
159,0.19919624,241.75793012295662,2.477e-06,1.673648648648649e-10,0.373,,,
160,0.27100072,328.9046673466899,3.747e-06,2.531756756756757e-10,0.373,,,
161,0.34356513,416.9737081456104,3.518e-06,2.377027027027027e-10,0.373,,,
162,0.41717382,506.3101567224044,3.841e-06,2.5952702702702704e-10,0.374,,,
163,0.48869444,593.1123832333542,4.267e-06,2.883108108108108e-10,0.374,,,
164,0.56157315,681.5628788250597,4.83e-06,3.2635135135135135e-10,0.373,,,
165,0.63379007,769.2101813545353,5.673e-06,3.833108108108108e-10,0.373,,,
